date,time,average_temp,average_humidity
 2020-10-18, 06:00:46,21.288888888888888,94.62222222222222
 2020-10-18, 07:00:00,22.5,94.39999999999999
 2020-10-18, 08:00:46,30.125,69.73333333333333
 2020-10-18, 09:00:31,29.41666666666667,76.71666666666667
 2020-10-18, 10:00:46,36.9,46.28333333333333
 2020-10-18, 11:00:45,39.800000000000004,41.38333333333333
 2020-10-18, 12:00:46,32.95833333333333,54.59166666666667
 2020-10-18, 13:00:46,38.775000000000006,41.483333333333334
 2020-10-18, 14:00:46,41.05833333333333,37.03333333333333
 2020-10-18, 15:00:46,35.483333333333334,48.15833333333333
 2020-10-18, 16:00:46,32.84166666666667,58.36666666666667
 2020-10-18, 17:00:46,30.150000000000002,69.55000000000001
 2020-10-18, 18:00:46,26.133333333333336,91.11666666666667
 2020-10-18, 19:00:46,24.633333333333336,94.63333333333333
 2020-10-18, 20:00:46,24.122222222222224,95.28888888888889
 2020-10-18, 21:00:01,23.433333333333334,95.93333333333334
 2020-10-18, 22:00:31,23.283333333333335,95.56666666666666
 2020-10-18, 23:00:31,23.0,95.44999999999999
 2020-10-19, 00:00:31,23.0,95.44999999999999
 2020-10-19, 01:00:01,20.766666666666666,95.36666666666667
 2020-10-19, 02:00:01,20.633333333333333,94.86666666666667
 2020-10-19, 03:00:46,20.5,94.60000000000001
 2020-10-19, 04:00:46,20.733333333333334,94.46666666666665
 2020-10-19, 05:00:46,20.95,94.65
